model_id,geography,parceltype,saletype,estimator,predictor_set,ycol,weights,disclosure,stack,xcolset_base,xcols_buildings,xcols_space,xcols_race,area,time,jsd
region-nb_hgb_yha,region-nb,v,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_hgb_yha,county,v,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_hgb_yha,region,v,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region-nb_mv_hgb_yha,region-nb,mv,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
county_mv_hgb_yha,county,mv,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region_mv_hgb_yha,region,mv,deed,hgb,X-yha,lnusd-ha-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yha,Xyr,0.01
region-nb_yhac,region-nb,v,deed,ert,X-yhac,lnusd-hac-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,yhac,Xyr,0.01
region-nb_yqc,region-nb,v,deed,ert,X-yqc,lnusd-yqc-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,yqc,0.01
region-nb_rihs,region-nb,v,deed,ert,X,lnusd-j001,rihs,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_recip,region-nb,v,deed,ert,X,lnusd-j001,recip,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_invprob,region-nb,v,deed,ert,X,lnusd-j001,invprob,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_jsd01,region-nb,v,deed,ert,X,lnusd-j01,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.1
region-nb_jsd1,region-nb,v,deed,ert,X,lnusd-j10,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,1
region-nb_high,region-nb,v,deed,ert,X,lnusd-j001,equal,high,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_medium,region-nb,v,deed,ert,X,lnusd-j001,equal,medium,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_lm_Xyqd,conus,v,deed,lm,X-main-lm_latlong_Xha^2_Xyqd,lnusd-j001,equal,all,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyqd,0.01
division_lm_Xyqd,division,v,deed,lm,X-main-lm_latlong_Xha^2_Xyqd,lnusd-j001,equal,all,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyqd,0.01
conus_mv_lm_Xyqd,conus,mv,deed,lm,X-main-lm_latlong_Xha^2_Xyqd,lnusd-j001,equal,all,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyqd,0.01
division_mv_lm_Xyqd,division,mv,deed,lm,X-main-lm_latlong_Xha^2_Xyqd,lnusd-j001,equal,all,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyqd,0.01
conus_lm_Xyrd,conus,v,deed,lm,X-main-lm_latlong_Xha^2_Xyrd,lnusd-j001,equal,all,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyrd,0.01
conus_lm_Xyqd_high,conus,v,deed,lm,X-main-lm_latlong_Xha^2_Xyqd,lnusd-j001,equal,high,FALSE,main-lm,fpihs,latlong,raceblind,Xha^2,Xyqd,0.01
conus_mv-barren,conus,mv-barren,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-coast,conus,mv-coast,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-crops,conus,mv-crops,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-floodplain,conus,mv-floodplain,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-forest,conus,mv-forest,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-grassland,conus,mv-grassland,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
